,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc,level_acc
53,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,7,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
56,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,7,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
57,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,7,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
61,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
64,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,8,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
70,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,11,1,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
72,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,11,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
73,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,11,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
75,อุดมสุข - สมุทรปราการ,รถโดยสารขนาดใหญ่,แจ่มใส,12,1,2019,ทางโค้งกว้าง,ที่ลาดชัน,1,INJ
77,รามอินทรา-อาจณรงค์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางตรง,,1,INJ
82,ดินแดง-ท่าเรือ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,1,2019,ทางแยกต่างระดับ/Ramps,,2,INJ
90,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
91,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถโดยสารขนาดใหญ่,แจ่มใส,15,1,2019,ทางเชื่อมเข้าพื้นที่สาธารณะ/เชิงพาณิชย์,,1,INJ
95,บางปะอิน - คลองพระยาสุเรนทร์,รถจักรยานยนต์,แจ่มใส,15,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
98,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถโดยสารขนาดใหญ่,แจ่มใส,16,1,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
100,สุขสวัสดิ์-บางขุนเทียน,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,16,1,2019,ทางตรง,,2,INJ
109,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,17,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
119,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
131,คลองพระยาสุเรนทร์ - บางพลี,รถจักรยานยนต์,แจ่มใส,21,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
136,คันนายาว - แยกเข้ามีนบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,23,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
138,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,24,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
144,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
148,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,27,1,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
158,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
163,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,29,1,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
173,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
175,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
176,แขวงรามอินทรา - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
178,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
179,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
181,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
187,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,2,2,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
200,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,6,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
205,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,7,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
211,แยกมหาวิทยาลัยเกษตรศาสตร์ - สี่แยกแคราย,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,2,2019,,,0,INJ
214,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,11,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
217,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,11,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
224,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
227,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,13,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
228,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,13,2,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
239,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,16,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
242,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,17,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
243,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ฝนตก,17,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
245,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ฝนตก,17,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
246,คลองพระยาสุเรนทร์ - บางพลี,รถตู้,แจ่มใส,18,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
249,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,18,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
253,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
258,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
260,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
264,บางแค - คลองมหาสวัสดิ์,รถปิคอัพโดยสาร,แจ่มใส,21,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
265,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,21,2,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
266,ถนนศรีนครินทร์ - บางปะกง,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,22,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
271,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,22,2,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
273,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,22,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
279,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,23,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
285,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,25,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
286,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,25,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
289,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
290,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
292,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,27,2,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
293,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,28,2,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
300,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
302,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
308,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,3,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
310,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,4,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
316,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
319,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,6,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
321,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,6,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
323,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,7,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
326,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,7,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
332,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,รถจักรยานยนต์,แจ่มใส,8,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
334,ถนนศรีนครินทร์ - บางปะกง,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,9,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
335,ถนนศรีนครินทร์ - บางปะกง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
336,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
340,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,3,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
342,ดาวคะนอง -  แสมดำ,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,12,3,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
347,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,12,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
351,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,13,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
354,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,13,3,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
359,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,14,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
365,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถบรรทุก 6 ล้อ,แจ่มใส,19,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
366,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,3,2019,ทางเชื่อมเข้าพื้นที่สาธารณะ/เชิงพาณิชย์,,3,INJ
369,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
370,บางแค - คลองมหาสวัสดิ์,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,20,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
377,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,22,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
378,ดาวคะนอง -  แสมดำ,รถจักรยานยนต์,แจ่มใส,22,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
383,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,24,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
389,บางปะอิน - คลองพระยาสุเรนทร์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,25,3,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
390,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
391,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
392,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
393,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
397,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
398,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,26,3,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
400,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,27,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
404,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,3,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
410,แขวงรามอินทรา - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,30,3,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
411,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,รถจักรยานยนต์,แจ่มใส,30,3,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,1,INJ
418,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,1,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
422,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,1,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
428,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,3,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
429,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,ฝนตก,3,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
432,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,3,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
434,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,3,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
444,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
445,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
450,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,6,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
451,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,6,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
452,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ฝนตก,7,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
454,บางแค - คลองมหาสวัสดิ์,รถจักรยานยนต์,แจ่มใส,7,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
457,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,9,4,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
461,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
469,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,10,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
473,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,10,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
478,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,11,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
485,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,12,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
486,บางบอน - โรงพยาบาลบางปะกอก 8,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,12,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
489,คลองพระยาสุเรนทร์ - ประเวศ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,12,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
490,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,13,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
494,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
498,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
499,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,4,2019,ทางตรง,ไม่มีความลาดชัน,3,INJ
502,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,16,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
503,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,16,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
506,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,17,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
507,บางแค - คลองมหาสวัสดิ์,รถตู้,แจ่มใส,17,4,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
510,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,17,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
512,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,18,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
517,บางปะอิน - คลองพระยาสุเรนทร์,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,20,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
520,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,21,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
522,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,21,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
523,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,21,4,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
527,ดาวคะนอง -  แสมดำ,รถจักรยานยนต์,แจ่มใส,22,4,2019,ทางตรง,ไม่มีความลาดชัน,1,INJ
535,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,23,4,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
541,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,รถจักรยานยนต์,แจ่มใส,26,4,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
